cell_line	TSPAN6 (7105)	TNMD (64102)	DPM1 (8813)	SCYL3 (57147)	C1orf112 (55732)	FGR (2268)
ACH-000002	0.176322773	0	5.702103407	1.23878686	3.119356177	4.141596278
ACH-000004	2.176322773	0	5.454504938	2.480265122	3.921245889	0.887525271
ACH-000005	2.451540833	0	5.884842094	2.927896454	5.299391206	0.201633861
ACH-000006	0.097610797	0	6.28503225	2.763411574	4.192194165	3.858975614
ACH-000007	3.350497247	0	5.957218149	3.129283017	3.716990894	0.028569152
ACH-000008	2.887525271		7.188638295	2.198494154	4.116863758	0
ACH-000009	5.761019265	0.111031312	8.081190475	2.241840184	4.448900951	0
ACH-000011	3.925999419	0	5.638073837	2.117695043	2.584962501	0
ACH-000012	5.158660175	0	6.132576843	1.974529312	3.77925972	0.028569152
ACH-000013	4.917431755	0.056583528	7.639232163	1.914564523	3.566815154	0.028569152
ACH-000014	2.967168608	0	7.575992972	2.381283373	3.639232163	0.056583528
ACH-000015	4.18030702	0	6.990501111	2.950468414	3.697106574	0.014355293
ACH-000017	2.523561956	0	7.109360559	3.258518925	3.886550147	0.014355293
ACH-000018	3.785550552	0	7.348285542	1.875780063	3.545968369	0.070389328
ACH-000019	2.403267722	0	7.490489907	2.606442228	3.177917792	0.014355293
ACH-000021	4.209453366	0	6.615298579	2.419538892	4.520422249	0
ACH-000022	3.527320608	0	6.454833907	2.735522177	3.040892431	0.014355293
