source,target,corr
TMEM176A (55365),TMEM176B (28959),0.961
RBM5 (10181),RBM6 (10180),0.817
RBM5 (10181),NISCH (11188),0.82
CD38 (952),RCSD1 (92241),0.814
PRSS22 (64063),CDH1 (999),0.812
PRSS22 (64063),EPN3 (55040),0.807
PRSS22 (64063),PRSS8 (5652),0.86
PRSS22 (64063),GRHL2 (79977),0.858
PRSS22 (64063),ESRP2 (80004),0.805
PRSS22 (64063),IRF6 (3664),0.801
PRSS22 (64063),PRRG2 (5639),0.813
PRSS22 (64063),RAB25 (57111),0.852
PRSS22 (64063),MARVELD3 (91862),0.848
PRSS22 (64063),LAD1 (3898),0.81
PRSS22 (64063),BICDL2 (146439),0.87
PRSS22 (64063),SPINT1 (6692),0.806
PRSS22 (64063),TMC4 (147798),0.833
PRSS22 (64063),OVOL1 (5017),0.818
PRSS22 (64063),KDF1 (126695),0.808
PRSS22 (64063),TMEM125 (128218),0.812
PRSS22 (64063),B3GNT3 (10331),0.826
PRSS22 (64063),CLDN7 (1366),0.832
PRSS22 (64063),TMEM30B (161291),0.803
PRSS22 (64063),S100A14 (57402),0.809
PRSS22 (64063),IQANK1 (642574),0.822
PRSS22 (64063),RNF223 (401934),0.826
ITGAL (3683),TRAF3IP3 (80342),0.839
ITGAL (3683),WAS (7454),0.841
ITGAL (3683),NCKAP1 (10787),-0.816
ITGAL (3683),RASAL3 (64926),0.841
ITGAL (3683),CD53 (963),0.811
ITGAL (3683),PTPN7 (5778),0.812
ITGAL (3683),P2RY8 (286530),0.838
ITGAL (3683),IKZF1 (10320),0.815
ITGAL (3683),ARHGAP30 (257106),0.831
ITGA3 (3675),TNFRSF12A (51330),0.832
ITGA3 (3675),MYOF (26509),0.829
TNFRSF12A (51330),RHBDF1 (64285),0.81
DLX6 (1750),DLX5 (1749),0.816
TNFRSF12A (51330),AMOTL2 (51421),0.851
TNFRSF12A (51330),SDC4 (6385),0.812
TNFRSF12A (51330),NIBAN2 (64855),0.815
TNFRSF12A (51330),YAP1 (10413),0.838
TNFRSF12A (51330),MYOF (26509),0.867
TNFRSF12A (51330),EPHA2 (1969),0.864
TNFRSF12A (51330),CCN1 (3491),0.841
TNFRSF12A (51330),GPX8 (493869),0.816
TNFRSF12A (51330),GNG12 (55970),0.81
TNFRSF12A (51330),ANXA2 (302),0.825
CD79B (974),CD79A (973),0.863
CD79B (974),POU2AF1 (5450),0.834
CD79B (974),IRAG2 (4033),0.811
CD79B (974),VPREB3 (29802),0.818
CD79B (974),GRAP (10750),0.807
CD79B (974),CD19 (930),0.821
CD79B (974),SPIB (6689),0.831
RHBDF1 (64285),LAMB2 (3913),0.802
PLEKHG6 (55200),GRHL2 (79977),0.811
PLEKHG6 (55200),RAB25 (57111),0.802
PLEKHG6 (55200),MARVELD3 (91862),0.815
PLEKHG6 (55200),BICDL2 (146439),0.821
PLEKHG6 (55200),SOWAHB (345079),0.801
TRAF3IP3 (80342),WAS (7454),0.881
TRAF3IP3 (80342),MAP4K1 (11184),0.826
TRAF3IP3 (80342),RASAL3 (64926),0.888
TRAF3IP3 (80342),CD48 (962),0.811
TRAF3IP3 (80342),NCKAP1L (3071),0.801
TRAF3IP3 (80342),GMFG (9535),0.822
TRAF3IP3 (80342),CD53 (963),0.845
TRAF3IP3 (80342),PTPN7 (5778),0.836
TRAF3IP3 (80342),P2RY8 (286530),0.824
TRAF3IP3 (80342),IKZF1 (10320),0.869
TRAF3IP3 (80342),ARHGAP30 (257106),0.878
BAZ1B (9031),POM121 (9883),0.809
BAZ1B (9031),POM121C (100101267),0.819
BTK (695),WAS (7454),0.801
BTK (695),NCKAP1 (10787),-0.803
BTK (695),SPI1 (6688),0.954
BTK (695),NCF4 (4689),0.85
BTK (695),LYL1 (4066),0.854
BTK (695),PLEK (5341),0.826
BTK (695),NCKAP1L (3071),0.813
BTK (695),WDFY4 (57705),0.848
BTK (695),SIGLEC10 (89790),0.801
BTK (695),CD53 (963),0.824
BTK (695),NCF1 (653361),0.801
BTK (695),TNFAIP8L2 (79626),0.833
BTK (695),KLHL6 (89857),0.809
KDM5D (8284),DDX3Y (8653),0.929
KDM5D (8284),USP9Y (8287),0.864
KDM5D (8284),RPS4Y1 (6192),0.853
KDM5D (8284),EIF1AY (9086),0.948
CD6 (923),CD5 (921),0.812
POLA2 (23649),CDCA5 (113130),0.822
WAS (7454),BCAR1 (9564),-0.814
WAS (7454),NCKAP1 (10787),-0.871
WAS (7454),ACAP1 (9744),0.833
WAS (7454),ARHGAP15 (55843),0.887
WAS (7454),PTPRC (5788),0.856
WAS (7454),CTTN (2017),-0.828
WAS (7454),NCF4 (4689),0.808
WAS (7454),CORO1A (11151),0.815
WAS (7454),TJP1 (7082),-0.865
WAS (7454),MAP4K1 (11184),0.881
WAS (7454),RASAL3 (64926),0.928
